推广计划名称,推广组,关键词名称,匹配方式,出价,默认访问URL,移动访问URL,启用/暂停,标记,关键词状态,审核未通过原因,能否展现,无法展现原因,计算机质量度,移动质量度,消耗,点击均价,点击数,展示数,点击率,转化
其它词,项目,最新小本投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,百业好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,寻找投资好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,长期投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,史丹利投资者关系平台,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,有好的致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,高投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,5000元投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,18年有什么投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,小额的投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,3万元投资好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,100万元投资好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,现在有什么致富好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,北方农村投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,企业投资项目备案证,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,中等投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,有什么好项目可以投资的,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,投资童装,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,短平快致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,投资平台的合法性,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,今年有什么好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,值得复投的投资平台,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,个体投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,合适的投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,小型投资理财产品,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,小投资赚大钱app,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,大中型投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,有什么投资的好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,什么是好的投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,金融投资日息平台,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,20万元的投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,财政投资项目有哪些,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,投资致富好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,11万元投资理财,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,致富好项目芦荟,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,农林致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,每天赚3000元的好项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,现在的投资项目有哪些,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,新鲜投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,小投资的致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,300万元理财,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,汽车装饰投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,农财致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,有什么小投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,3万元投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,投资项目模式,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,20万元投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,楼顶致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,某投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,互联网好的投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,利息,安逸花利息高吗,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资4,万元做投资,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,技改投资项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,10万投资什么理财产品,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,项目,新型农村致富项目,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资4,四万元投资,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,利息,5万元怎么存利息高,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
其它词,投资2,2200万投资理财,短语（核心包含）,0.41,http://yj999.hzxitu.club/,http://yj999.hzxitu.club/,启用,无标记,计算机搜索无效,,部分展现,,5,5,0,0,0,0,--,0
